,MN_EARN_WNE_P6
4739,32035.23115463448
2972,38600.0
1941,27400.0
104,32035.23115463448
1737,44500.0
3190,18300.0
2343,16800.0
3853,36500.0
2179,23500.0
4067,33200.0
2406,34300.0
3275,22000.0
34,28000.0
197,40000.0
4073,23400.0
4174,37300.0
2541,45200.0
4352,32035.23115463448
817,43300.0
564,38800.0
2256,38000.0
4126,25600.0
2399,33600.0
74,19600.0
855,27900.0
309,53000.0
4782,32035.23115463448
282,24500.0
3443,22500.0
2618,32035.23115463448
4194,25400.0
547,38600.0
2973,44800.0
2673,21300.0
2961,71000.0
3541,18400.0
2794,18900.0
1158,65600.0
1680,50900.0
720,56100.0
291,15100.0
3581,25600.0
540,39500.0
2300,25500.0
2389,36300.0
1036,36600.0
1882,21600.0
2378,29100.0
1047,36800.0
2621,36300.0
3903,29100.0
267,39700.0
872,28200.0
4235,29100.0
689,28000.0
4794,24600.0
60,20500.0
3437,19600.0
4983,28300.0
1189,32035.23115463448
1488,36300.0
3331,32035.23115463448
2911,50100.0
2998,27200.0
4382,18300.0
3214,37200.0
4,24400.0
395,32800.0
2019,33300.0
3282,17900.0
535,48400.0
3834,32035.23115463448
4484,32035.23115463448
3446,26600.0
4818,30800.0
602,24300.0
2869,29400.0
581,47700.0
1437,25300.0
4861,32035.23115463448
195,38500.0
1263,40000.0
172,27000.0
2807,25000.0
3919,19600.0
2498,45300.0
4380,32035.23115463448
1409,37700.0
2242,30300.0
2846,58900.0
924,32600.0
702,38100.0
1013,17500.0
3530,16900.0
3505,29300.0
1173,32035.23115463448
1562,26000.0
4448,21600.0
1447,22600.0
1641,27200.0
2687,26900.0
1300,26600.0
642,36500.0
2822,33900.0
1430,54000.0
3651,23400.0
2414,28500.0
2685,27900.0
2742,16900.0
2104,25200.0
3041,14100.0
2233,29100.0
1239,29700.0
437,35700.0
415,61400.0
3540,42700.0
3943,42800.0
3312,19300.0
982,39800.0
1164,20500.0
1779,26400.0
2147,28900.0
4546,32035.23115463448
2015,48100.0
1918,27400.0
3876,18200.0
586,28300.0
595,31200.0
1811,29700.0
812,25800.0
1949,26600.0
1070,37900.0
4711,32035.23115463448
1167,38800.0
1221,34300.0
1930,46500.0
3704,23000.0
3366,20300.0
2583,21200.0
220,23400.0
4106,22400.0
1065,36000.0
462,34200.0
1692,39900.0
3573,22700.0
2054,78600.0
2013,43400.0
2805,27500.0
1309,32400.0
3958,28900.0
774,21500.0
1335,47000.0
305,25600.0
1504,40900.0
911,31100.0
439,48700.0
713,30100.0
4586,27200.0
2117,33700.0
2139,33100.0
1501,31500.0
4456,38400.0
1024,17000.0
2223,69900.0
1082,41200.0
3456,30700.0
734,27800.0
1674,48800.0
3239,27500.0
3713,21200.0
4689,32500.0
2385,33500.0
1610,32035.23115463448
1643,31800.0
1219,25400.0
1604,40900.0
357,54100.0
2304,28800.0
530,40200.0
3578,24800.0
4820,32035.23115463448
1093,43100.0
1765,47800.0
3735,44500.0
985,32400.0
2675,38000.0
2118,20700.0
2120,22700.0
3468,17200.0
4233,20300.0
2213,39100.0
3087,51900.0
4217,25200.0
1288,52800.0
2319,26100.0
137,32035.23115463448
973,31100.0
1648,38200.0
2366,32200.0
615,37500.0
3432,40500.0
4422,32035.23115463448
1858,33700.0
4266,23800.0
3052,43900.0
4387,46000.0
4875,32035.23115463448
4828,32035.23115463448
3371,29100.0
2115,32500.0
2197,21700.0
1366,48600.0
414,45300.0
3861,32035.23115463448
2833,30100.0
2185,42300.0
3350,26300.0
1040,28800.0
3084,24800.0
4335,27400.0
508,40500.0
3569,20200.0
3343,47900.0
1781,30700.0
4034,27800.0
4451,21600.0
2823,41600.0
3334,23000.0
543,31000.0
4922,32035.23115463448
4503,21800.0
223,27900.0
3705,29200.0
2985,31200.0
1402,32035.23115463448
3358,38800.0
2748,31800.0
180,38300.0
3403,50400.0
3786,19600.0
1322,33400.0
2442,19600.0
2905,30900.0
539,81100.0
289,32200.0
975,54300.0
2726,26600.0
3626,32035.23115463448
4220,27500.0
41,45200.0
4272,23600.0
3168,28500.0
2943,38900.0
3392,32700.0
3121,30800.0
2142,45000.0
4713,32035.23115463448
876,39000.0
1391,37100.0
506,31900.0
3464,23400.0
1014,43800.0
387,29100.0
2390,48600.0
307,27700.0
1336,69200.0
1863,18300.0
3073,37000.0
3976,38100.0
1255,34000.0
3454,37000.0
340,24600.0
1801,30400.0
4912,32035.23115463448
3335,26200.0
4393,28800.0
2839,36100.0
3858,16700.0
747,38300.0
3847,26600.0
3509,16300.0
2053,16100.0
1503,22000.0
4154,25600.0
2679,24000.0
1780,28600.0
3809,19300.0
765,28800.0
925,28900.0
856,44200.0
4873,32035.23115463448
1270,26300.0
4316,32035.23115463448
4599,32035.23115463448
1114,20400.0
4726,32500.0
2249,28500.0
751,35600.0
4859,32035.23115463448
3984,18600.0
151,22100.0
1032,48500.0
3125,33500.0
346,35100.0
2645,44800.0
1670,34500.0
706,30700.0
4654,32035.23115463448
3522,25500.0
3545,18200.0
1400,35300.0
1017,44500.0
2627,44500.0
1649,37100.0
3051,27700.0
1502,30100.0
87,29600.0
521,52000.0
4531,32035.23115463448
1556,41300.0
2358,27100.0
2945,24700.0
3274,17500.0
2295,34500.0
1201,36600.0
2135,31700.0
3830,19400.0
3218,38900.0
4648,32035.23115463448
3484,20800.0
3309,19300.0
1142,28800.0
2733,34900.0
10,36700.0
2388,34600.0
4048,20200.0
4346,32035.23115463448
3144,33200.0
3194,39300.0
3318,21800.0
1845,23600.0
2099,47100.0
569,24500.0
2887,43800.0
