,SCH_DEG,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,CCBASIC,CCUGPROF,CCSIZSET,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,TUITFTE,INEXPFTE,POOLYRS,POOLYRS200,PCTFLOAN,CDR2,CDR3,COMP_ORIG_YR2_RT,WDRAW_ORIG_YR2_RT,COMP_ORIG_YR3_RT,WDRAW_ORIG_YR3_RT,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,COMP_ORIG_YR6_RT,WDRAW_ORIG_YR6_RT,COMP_ORIG_YR8_RT,WDRAW_ORIG_YR8_RT,RPY_1YR_RT,COMPL_RPY_1YR_RT,NONCOM_RPY_1YR_RT,RPY_3YR_RT,COMPL_RPY_3YR_RT,NONCOM_RPY_3YR_RT,RPY_5YR_RT,COMPL_RPY_5YR_RT,NONCOM_RPY_5YR_RT,RPY_7YR_RT,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,PAR_ED_PCT_PS,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,DEBT_N,GRAD_DEBT_N,WDRAW_DEBT_N,FEMALE_DEBT_N,MALE_DEBT_N,FAMINC,MD_FAMINC,FAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,ICLEVEL,UGDS_MEN,UGDS_WOMEN,OPENADMP,FTFTPCTPELL,FTFTPCTFLOAN,CNTOVER150_1YR
3690,1.0,0,2,1,1,3,-2.0,-2.0,-2.0,0.0,20.0,0.8,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37158.0,25442.0,2.0,2.0,0.7857,0.172,0.183,0.777777777778,0.2878495205826216,0.811320754717,0.2819515119424101,0.78125,0.276829904139649,0.816091954023,0.253801107928776,0.561904761905,0.1883543183037417,0.4970414201,0.5590551181,0.3095238095,0.5562130178,0.624,0.3636363636,0.5176470588,0.6129032258,0.2608695652,0.4674556213,0.5656565657,0.1111111111,0.1261318109006949,0.6162790698,5500.0,5500.0,6681.385057471264,12280.061078456429,11445.868898543316,61.0,45.0,16.0,2021.227765726681,1007.708604483008,47475.959596,23427.0,30381.641509,68.7699966430664,24.0100002288818,2.4300000667572,5.71999979019165,23.6299991607666,11.6999998092651,90.6399993896484,67696.6,6.63999986648559,2.92000007629394,3,0.0,1.0,1.0,0.8333,0.8333,42.0
1145,1.0,1,1,1,1,3,-2.0,-2.0,-2.0,0.0,174.0,0.2529,0.6839,0.0287,0.0057,0.0057,0.0,0.023,0.0,0.0,0.0,11257.0,3105.0,2.0,2.0,0.6289,0.076,0.054,0.642335766423,0.226277372263,0.64406779661,0.254237288136,0.486956521739,0.369565217391,0.574257425743,0.207920792079,0.518518518519,0.157407407407,0.4535315985,0.4787234043,0.3950617284,0.4473684211,0.4812834225,0.3670886076,0.4420485175,0.5082644628,0.3178294574,0.4468085106,0.7569230769,0.1323076923,0.0553846154,0.3590733591,8872.0,9049.0,4436.0,8821.0,8961.0,217.0,171.0,46.0,146.0,71.0,21397.369231,15561.0,18499.227074,53.9300003051757,42.9300003051757,0.68000000715255,1.86000001430511,11.25,5.88000011444091,97.7399978637695,43043.4,18.0100002288818,5.34999990463256,3,0.3276,0.6724,1.0,0.8372,0.8295,97.0
2045,2.0,1,1,2,2,3,10.0,3.0,2.0,0.0,764.0,0.0681,0.394,0.2919,0.051,0.0026,0.0,0.0314,0.0,0.161,0.0275,30437.0,9414.0,2.0,2.0,0.6915,0.064,0.112,0.433808553971,0.317718940937,0.48643006263,0.327766179541,0.544401544402,0.27027027027,0.563432835821,0.201492537313,0.592696629213,0.140449438202,0.3766478343,0.5345454545,0.20703125,0.4485981308,0.5927272727,0.2961538462,0.5464098074,0.6293103448,0.4170403587,0.6812652068,0.7544204322,0.1198428291,0.0766208251,0.4730290456,14250.0,22834.0,6334.0,14257.0,12667.0,836.0,457.0,379.0,663.0,173.0,22231.548134,13629.5,19951.124031,54.7299995422363,21.6599998474121,8.43000030517578,21.829999923706,18.1599998474121,13.6400003433227,66.0699996948242,62353.69,15.0299997329711,4.94999980926513,2,0.2094,0.7906,1.0,0.8185,0.7169,336.0
321,1.0,1,2,2,3,1,14.0,5.0,12.0,0.0,11825.0,0.3895,0.0326,0.3863,0.0681,0.0039,0.0059,0.0712,0.0123,0.0302,0.6064,941.0,5923.0,2.0,2.142507236695613,0.0178,0.059,0.15,0.014442013129,0.447702407002,0.044805709754,0.451229183188,0.114276025771,0.400813835198,0.219665271967,0.317991631799,0.158127208481,0.166077738516,0.4198473282,0.5348837209,0.397260274,0.4448398577,0.5581395349,0.4243697479,0.5057034221,0.6428571429,0.4893617021,0.5458015267,0.6894828336,0.1968709257,0.0947414168,0.4902860227,8500.0,9000.0,8500.0,8811.0,8125.0,577.0,41.0,536.0,363.0,214.0,22970.439157,19811.0,18390.606037,71.3399963378906,5.03000020980835,4.94000005722045,25.7999992370605,18.1299991607666,9.97000026702881,80.2099990844726,68755.94,7.53999996185302,3.21000003814697,1,0.3904,0.6096,1.0,0.396,0.0079,74.0
1989,1.0,1,1,1,1,3,-2.0,-2.0,-2.0,0.0,137.0,0.6131,0.2409,0.0438,0.0219,0.0,0.0,0.0657,0.0,0.0146,0.4307,8851.0,2843.0,2.0,2.0,0.7082,0.067,0.09,0.658959537572,0.242774566474,0.648780487805,0.229268292683,0.601895734597,0.236966824645,0.631284916201,0.167597765363,0.668269230769,0.120192307692,0.2184466019,0.5468781949183574,0.3470241690231884,0.2607655502,0.3333333333,0.1,0.2692307692,0.3076923077,0.1730769231,0.3333333333,0.7538461538,0.1205128205,0.058974359,0.4114114114,6333.0,6333.0,4060.0,12280.061078456429,11445.868898543316,206.0,153.0,53.0,2021.227765726681,1007.708604483008,21567.110256,13263.5,14413.02008,76.0899963378906,18.6100006103515,1.14999997615814,4.38999986648559,11.9700002670288,7.88000011444091,94.4100036621093,48696.74,13.5100002288818,5.03000020980835,3,0.0073,0.9927,1.0,0.7308,0.7692,94.0
664,3.0,1,1,3,4,2,21.0,12.0,8.0,0.0,980.0,0.3102,0.348,0.1469,0.0612,0.002,0.0041,0.0694,0.0337,0.0245,0.0061,14051.0,17401.0,2.0,2.0,0.5672,0.075,0.036,0.107317073171,0.107317073171,0.620535714286,0.098214285714,0.664948453608,0.056701030928,0.616326530612,0.044897959184,0.619047619048,0.051948051948,0.5436046512,0.6330275229,0.3888888889,0.5623342175,0.6638297872,0.3943661972,0.6428571429,0.7058823529,0.5625,0.7387387387,0.325,0.185,0.145,0.7880434783,20250.0,26737.0,9375.0,12280.061078456429,11445.868898543316,430.0,242.0,188.0,2021.227765726681,1007.708604483008,64883.6325,45206.0,18565.75,68.8399963378906,22.9899997711181,3.21000003814697,6.65000009536743,20.3899993896484,11.5699996948242,89.6999969482422,69580.95,7.67999982833862,3.24000000953674,1,0.0,1.0,2.0,0.4214,0.5786,121.0
1907,2.0,1,1,2,2,1,1.0,2.0,5.0,0.0,11222.0,0.1035,0.2331,0.3229,0.2357,0.0108,0.006,0.0266,0.0614,0.0,0.3353,2961.0,11730.0,2.0,2.0,0.0434,0.114,0.059,0.223277331385,0.413440467495,0.272967138402,0.395778364116,0.278707052441,0.378390596745,0.313405797101,0.326604554865,0.242807206238,0.143318096262,0.3309024613,0.4810126582,0.2895348837,0.4026845638,0.5413533835,0.3628509719,0.4494117647,0.5384615385,0.4280155642,0.4976303318,0.6706458909,0.1918823825,0.1020356874,0.4810671256,5500.0,8676.0,5000.0,5500.0,5500.0,1183.0,356.0,827.0,704.0,479.0,25532.745288,20309.5,18253.043944,36.4500007629394,30.7600002288818,15.4499998092651,22.8400001525878,14.1400003433227,8.64999961853027,54.5900001525879,60348.33,12.789999961853,4.88000011444091,2,0.4467,0.5533,1.0,0.6499,0.0365,536.0
4887,1.0,0,2,1,1,3,-2.0,-2.0,-2.0,0.0,138.0,0.3551,0.4928,0.1087,0.0,0.0,0.0,0.0,0.0435,0.0,0.1087,9163.0,3061.0,2.0,2.0,0.7362,0.0913084990168232,0.12,0.614035087719,0.263157894737,0.561224489796,0.285714285714,0.561111111111,0.3,0.677685950413,0.165289256198,0.558139534884,0.151162790698,0.4361639962783167,0.5468781949183574,0.3470241690231884,0.4754765902077628,0.5846318995346723,0.3894773273565057,0.5153843116427258,0.6295410109199638,0.4355592795536239,0.5626655941568187,0.5498468108730411,0.1554433811001949,0.1261318109006949,0.5600308676121174,9467.0,9833.0,4750.0,9367.0,9500.0,281.0,184.0,97.0,257.0,24.0,41825.84066218559,30729.028208744712,21369.014411282275,76.1461475169641,12.59515768395575,2.940960700933222,12.785574950469384,14.37173128372222,7.868002920928614,89.17488898151937,58330.236984473566,10.492974269974278,3.8103905911586704,3,0.1087,0.8913,1.0,0.6752,0.6581,92.0
2106,3.0,1,1,3,4,2,21.0,11.0,11.0,0.0,1262.0,0.4929,0.267,0.1387,0.0277,0.004,0.0008,0.0412,0.0103,0.0174,0.0539,12030.0,9406.0,2.0,2.0,0.5462,0.068,0.09,0.066518847007,0.175166297118,0.394255874674,0.146214099217,0.424507658643,0.185995623632,0.488679245283,0.190566037736,0.499254843517,0.140089418778,0.448,0.5643274854,0.3328509407,0.5105657805,0.6179310345,0.4056603774,0.5844504021,0.6958525346,0.498216409,0.6079027356,0.4112709832,0.1534772182,0.1438848921,0.7367724868,17500.0,26293.0,8750.0,19500.0,15750.0,761.0,387.0,374.0,403.0,358.0,58116.868106,37714.5,23306.506977,72.5199966430664,20.9200000762939,2.31999993324279,4.67999982833862,19.3899993896484,10.2100000381469,92.2699966430664,63141.25,7.38000011444091,3.25999999046325,1,0.4834,0.5166,2.0,0.4921,0.6342,278.0
3715,1.0,1,1,1,1,1,-2.0,-2.0,-2.0,0.0,40.0,0.925,0.0,0.05,0.0,0.025,0.0,0.0,0.0,0.0,0.275,4746.0,13205.0,4.0,4.0,0.4571,0.127,0.285,0.3425161502098497,0.2878495205826216,0.4502883382338015,0.2819515119424101,0.4847121774627148,0.276829904139649,0.4958883120639391,0.253801107928776,0.431818181818,0.1883543183037417,0.475,0.5468781949183574,0.3470241690231884,0.5263157895,0.5846318995346723,0.3894773273565057,0.6285714286,0.6295410109199638,0.4355592795536239,0.5416666667,0.5498468108730411,0.1554433811001949,0.1261318109006949,0.5600308676121174,9500.0,15945.298883928572,6681.385057471264,12280.061078456429,11445.868898543316,26.0,1282.5475352112676,1496.1243397887324,2021.227765726681,1007.708604483008,18389.297297,16527.0,15150.222222,96.8300018310547,0.62999999523162,0.56000000238418,2.28999996185302,10.6800003051757,6.88000011444091,97.6699981689453,38464.52,12.6300001144409,2.92000007629394,3,0.3,0.7,2.0,1.0,0.4286,21.0
3721,2.0,1,1,2,3,2,26.0,5.0,6.0,0.0,193.0,0.8756,0.0725,0.0052,0.0052,0.0104,0.0052,0.0259,0.0,0.0,0.6269,29916.0,28389.0,4.0,2.142507236695613,0.6108,0.068,0.02,0.546666666667,0.2878495205826216,0.692307692308,0.2819515119424101,0.725274725275,0.131868131868,0.703703703704,0.253801107928776,0.792207792208,0.1883543183037417,0.6333333333,0.7209302326,0.4117647059,0.6524064171,0.7328244275,0.4642857143,0.7324840764,0.8181818182,0.4444444444,0.8188976378,0.4437086093,0.119205298,0.1854304636,0.5214285714,12000.0,15600.0,6576.0,11572.0,12000.0,143.0,101.0,42.0,118.0,25.0,49217.10596,34079.0,40436.737864,92.9599990844726,4.63999986648559,0.60000002384185,1.01999998092651,12.3100004196167,6.01999998092651,98.3099975585937,47776.36,8.76000022888183,3.23000001907348,1,0.1088,0.8912,2.0,0.8571,0.7143,115.0
332,1.0,1,1,1,3,3,30.0,11.0,6.0,0.0,683.0,0.2577,0.0571,0.1142,0.0659,0.0015,0.0044,0.06,0.3631,0.0761,0.369,20340.0,6889.0,2.0,2.0,0.3063,0.053,0.05,0.3425161502098497,0.626373626374,0.4502883382338015,0.702857142857,0.4847121774627148,0.64857881137,0.4958883120639391,0.588118811881,0.120234604106,0.494134897361,0.4868667917,0.4565217391,0.4882352941,0.5433579336,0.4418604651,0.5475504323,0.5334872979,0.5836575875,0.5211132438,0.5411985019,0.5607028754,0.1198083067,0.1118210863,0.6588447653,6334.0,9500.0,6334.0,6334.0,6334.0,618.0,26.0,592.0,162.0,456.0,46258.947284,23802.5,14610.619048,66.0400009155273,8.03999996185302,7.59000015258789,26.2399997711181,17.8199996948242,9.5600004196167,76.2099990844726,65487.96,10.6999998092651,4.28000020980835,1,0.7379,0.2621,2.0,0.3009,0.4425,884.7077309868007
3064,3.0,1,1,3,4,1,19.0,15.0,14.0,0.0,3981.0,0.6817,0.0786,0.11,0.0402,0.0013,0.0015,0.0535,0.007,0.0261,0.1361,6489.0,7951.0,2.0,2.0,0.4247,0.013,0.027,0.174065420561,0.122663551402,0.520998864926,0.118047673099,0.600532623169,0.106524633822,0.644522144522,0.089743589744,0.658967391304,0.073369565217,0.6996197719,0.7851239669,0.5448717949,0.7416131335,0.830449827,0.5973782772,0.8467213115,0.913473424,0.7153284672,0.8993595608,0.2174189447,0.1106166561,0.1309599491,0.7520107239,15395.0,20500.0,7262.0,15868.0,14322.0,1778.0,1082.0,696.0,1189.0,589.0,90736.549269,80643.0,29386.404255,81.0899963378906,11.3999996185302,3.46000003814697,4.5,20.7099990844726,13.3000001907348,90.7200012207031,83782.23,4.17000007629394,2.32999992370605,1,0.3537,0.6463,2.0,0.1819,0.4394,752.0
2824,3.0,1,1,3,4,1,20.0,13.0,13.0,0.0,5151.0,0.7816,0.1349,0.0365,0.006,0.0025,0.0006,0.0315,0.0064,0.0,0.094,5443.0,8913.0,2.0,2.0,0.4071,0.101,0.067,0.13868065967,0.245127436282,0.31987814166,0.264280274181,0.462626262626,0.227609427609,0.46568627451,0.213848039216,0.484061393152,0.17119244392,0.4678323985,0.6045156591,0.3546441496,0.5523928683,0.686452514,0.4436260623,0.5855642155,0.7804459691,0.4582633053,0.6557093426,0.4265848671,0.1832310838,0.1521472393,0.6089309878,13615.0,21500.0,8065.0,14000.0,12500.0,2919.0,1402.0,1517.0,1842.0,1077.0,46980.43272,35300.0,24008.356577,80.5999984741211,16.7199993133544,0.68999999761581,1.85000002384185,9.44999980926513,5.11999988555908,97.5400009155273,48533.54,10.9600000381469,3.57999992370605,1,0.3999,0.6001,2.0,0.5056,0.5065,1163.0
1669,3.0,1,1,3,4,1,22.0,11.0,7.0,0.0,873.0,0.7022,0.0344,0.0515,0.0034,0.0905,0.0069,0.0905,0.0103,0.0103,0.1684,5091.0,9376.0,2.0,2.0,0.4442,0.088,0.097,0.120218579235,0.387978142077,0.196022727273,0.428977272727,0.269113149847,0.449541284404,0.334239130435,0.307065217391,0.290726817043,0.383458646617,0.5867208672,0.7782426778,0.49498998,0.6354166667,0.8032786885,0.5572519084,0.6996197719,0.6295410109199638,0.4355592795536239,0.6913746631,0.4355062413,0.1816920943,0.1650485437,0.6561561562,10500.0,17772.0,8000.0,10500.0,10682.0,598.0,183.0,415.0,276.0,322.0,46103.995839,35266.0,24323.081784,81.5899963378906,1.08000004291534,0.56999999284744,2.19000005722045,14.1999998092651,5.71999979019165,96.9000015258789,43741.63,14.0100002288818,5.15000009536743,1,0.5407,0.4593,1.0,0.4746,0.4746,173.0
